acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.993,['Mamie Smith'],0.647,163827,0.18600000000000005,0,11m7laMUgmOKqI3oYzuhne,1.76e-05,0,0.519,-12.098,1,Golfing Papa,4,1920,0.174,97.6,0.6890000000000001,1920
0.995,"['Mamie Smith', 'The Harlem Trio']",0.482,198000,0.229,0,0lqEx4vktZP1y9hnwfF27Y,6.05e-05,7,0.5489999999999999,-12.619000000000002,1,Kansas City Man Blues - 78rpm Version,4,1920,0.0812,77.232,0.461,1920
0.231,['The Pixels'],0.13,128451,0.0472,0,5mcu9FmmOm2POXPoAxZK6V,0.984,9,0.267,-7.8679999999999986,0,"Golden Axe Stage 1 (From ""Golden Axe"") [Genesis Mix]",4,1920-01-04,0.0488,144.747,0.654,1920
1.16e-05,['Oscar Velazquez'],0.568,386287,0.7290000000000001,0,0TIfXVGqyiOTuWkuxEzQzc,0.912,2,0.0613,-8.293,1,True House Music - Original Massive Mix,3,1920-01-01,0.0312,129.987,0.175,1920
0.000294,['Level-Up'],0.478,177250,0.746,0,16G0VwcECNIbpTD2bLin5f,0.894,5,0.125,-12.042,0,"Altered Beast Theme (From ""Altered Beast"") [Genesis Mix]",3,1920-01-04,0.0358,149.94899999999996,0.4270000000000001,1920
0.16699999999999998,['The Pixels'],0.7909999999999999,134155,0.696,0,6KK1Z2pdGdbTekUGOdtjVd,0.955,2,0.111,-20.534,1,"Woods Area (From ""Kid Chameleon"") [Genesis Mix]",3,1920-01-04,0.0516,130.025,0.613,1920
0.295,['Mixe'],0.7040000000000001,165224,0.7070000000000001,1,2hJjbsLCytGsnAHfdsLejp,0.000246,10,0.402,-6.0360000000000005,0,Xuniverxe,2,1920-10-01,0.0768,122.076,0.299,1920
0.887,['696'],0.653,106214,0.29100000000000004,1,3ajZwXiT7qpanVm5DcvcQF,0.000236,1,0.105,-16.198,0,After Life,2,1920-01-01,0.0648,119.869,0.37,1920
0.0148,['696'],0.594,158407,0.8440000000000001,1,4jFsBM3wEzUXd9k8H4CL2A,0.0,10,0.202,-6.645,0,Curved Fist,2,1920-01-01,0.07400000000000001,115.069,0.212,1920
0.158,['696'],0.654,149185,0.6809999999999999,1,5l1vD13Hm11oMQ7JmleTER,2.58e-06,0,0.12,-8.494,1,Death Vibes,2,1920-01-01,0.0647,149.911,0.5329999999999999,1920
0.701,"['Exquisite Classic', 'Johann Sebastian Bach', 'Franz Peter Müller-Sybel']",0.0791,210000,0.192,0,2RnTvvfQKY7DqKGi59rOJS,0.0359,2,0.085,-17.945,0,"Brandenburg Concerto No. 2 in F major, BWV 1047 - II. Andante",2,1920,0.0398,178.577,0.184,1920
0.96,"['Exquisite Classic', 'Johann Sebastian Bach', 'Franz Peter Müller-Sybel']",0.439,416000,0.362,0,2ed1sVLqJAGcWaqyvh9I48,0.0024,7,0.16,-15.167,1,"Brandenburg Concerto No. 3 in G major, BWV 1048 - I. Allegro moderato",2,1920,0.0529,158.878,0.818,1920
0.912,"['Exquisite Classic', 'Johann Sebastian Bach', 'Franz Peter Müller-Sybel']",0.58,175300,0.493,0,2t2M73JJCew2g0NL8AIShq,0.449,5,0.136,-13.353,1,"Brandenburg Concerto No. 2 in F major, BWV 1047 - III. Allegro Assai",2,1920,0.0463,99.187,0.93,1920
0.00144,['Level-Up'],0.371,187500,0.936,0,33dAwM4dlhmTcV0Judn5P5,0.525,8,0.104,-10.771,0,Phantasy Star 4 [Genesis Mix],2,1920-01-04,0.0447,177.76,0.8029999999999999,1920
0.958,"['Exquisite Classic', 'Johann Sebastian Bach']",0.453,288000,0.299,0,3fZSnh5P6sMCsXrXRlCjxT,0.48,5,0.195,-16.289,1,"Brandenburg Concerto No. 1 in F major, BWV 1046 - III. Allegro",2,1920,0.0539,163.959,0.799,1920
0.914,"['Exquisite Classic', 'Johann Sebastian Bach', 'Franz Peter Müller-Sybel']",0.635,222710,0.524,0,3yJtof0uSpr6VFyJ0LfvBm,0.000263,7,0.391,-15.049,1,"Brandenburg Concerto No. 3 in G major, BWV 1048 - III. Allegro",2,1920,0.0496,100.547,0.787,1920
0.982,"['Exquisite Classic', 'Johann Sebastian Bach']",0.385,405200,0.177,0,4B9N986teAdd370p4bydJ3,0.88,5,0.141,-15.390999999999998,1,"Brandenburg Concerto No. 1 in F major, BWV 1046 - IV. Menuet",2,1920,0.0341,114.922,0.304,1920
0.0131,['The Pixels'],0.674,106500,0.662,0,4IYIlWb2o8ifdUZeNNjQx8,0.17800000000000002,2,0.328,-10.648,1,Earthworm Jim [Genesis Mix],2,1920-01-04,0.0695,165.993,0.531,1920
0.732,['Dennis Day'],0.8190000000000001,180533,0.341,0,7xPhfUan2yNtyFG0cUWkt8,0.0,7,0.16,-12.441,1,Clancy Lowered the Boom,6,1921,0.415,60.93600000000001,0.963,1921
0.134,['Wycliffe Beats'],0.825,182812,0.438,0,5RwgWnsoFMOHSwS7s3W2Ws,0.846,0,0.149,-11.398,1,Lugnet Drunken (with Meistroo),5,1921-02-28,0.0509,130.002,0.301,1921
0.982,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,831667,0.211,0,4BJqT0PrAfrxzMOxytFOIz,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",4,1921,0.0366,80.954,0.0594,1921
0.989,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.384,221013,0.171,0,0NFeJgmTAV1kDfzSQNK41Z,0.82,7,0.116,-20.476,0,"10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",4,1921,0.0319,107.698,0.282,1921
0.992,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']",0.241,167867,0.109,0,2Cfk7LOOiTLVxe9BNoGGCL,0.853,1,0.0771,-19.286,1,"Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",4,1921,0.0377,79.97399999999998,0.0379,1921
0.957,['Phil Regan'],0.418,166693,0.193,0,4d6HGyGT8e121BsdKmw9v6,1.68e-06,3,0.229,-10.096,1,When Irish Eyes Are Smiling,3,1921,0.038,101.665,0.253,1921
0.505,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.233,686664,0.00817,0,0yxeAe7MlS0UWZVdNZVZWw,0.000203,8,0.109,-37.311,1,Raja Manggala,3,1921,0.0305,108.143,0.185,1921
0.967,['Frank Parker'],0.275,210000,0.309,0,3ftBPsC5vPBKxYSee08FDH,2.77e-05,5,0.381,-9.316,1,Danny Boy,3,1921,0.0354,100.109,0.165,1921
0.579,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.6970000000000001,395076,0.34600000000000003,0,4pyw9DVHGStUre4J6hPngr,0.168,2,0.13,-12.505999999999998,1,Gati Mardika,3,1921,0.07,119.824,0.196,1921
0.996,['John McCormack'],0.518,159507,0.203,0,5uNZnElqOS3W4fRmRYPk4T,0.0,0,0.115,-10.589,1,The Wearing of the Green,3,1921,0.0615,66.221,0.406,1921
0.993,['Sergei Rachmaninoff'],0.389,218773,0.08800000000000001,0,02GDntOXexBFUvSgaXLPkd,0.527,1,0.363,-21.091,0,"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",2,1921,0.0456,92.867,0.0731,1921
0.478,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.28,546033,0.0294,0,2xRAzeh9R6zNdXdVhCXMxj,0.00569,2,0.0439,-28.522,0,Prabu Mataram,2,1921,0.0324,106.083,0.25,1921
0.987,"['Sergei Rachmaninoff', 'Emanuel Ax', 'Yefim Bronfman']",0.292,385667,0.0769,0,6o36ekDgoZZJFPiKw6Ufef,0.873,2,0.067,-24.999,1,"Suite No. 1, Op. 5 ""Fantaisie-tableaux"": II. La nuit? L'amour",2,1921,0.0393,69.601,0.0308,1921
0.957,['Phil Regan'],0.259,186467,0.212,0,0Nk5f07H3JaEunGrYfbqHM,0.0002220000000000001,2,0.236,-13.3,1,Come Back To Erin,1,1921,0.0358,85.726,0.218,1921
0.7659999999999999,['Mehmet Kemiksiz'],0.453,337607,0.5589999999999999,0,107JTiqeqxj5P0ocypagMK,0.0104,9,0.213,-8.072000000000001,1,Eşin Var âşiyâ Var,1,1921,0.0329,156.077,0.47,1921
0.994,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.248,117467,0.0876,0,1Pb4ebTZ4t8erRbLPPb8Pk,0.907,5,0.165,-25.786,1,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",1,1921,0.0566,82.025,0.077,1921
0.982,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']",0.279,831667,0.211,0,1SCWBjhk5WmXPxhDduD3HM,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",1,1921,0.0366,80.954,0.0594,1921
0.961,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.328,500062,0.166,0,1o6I8BglA6ylDMrIELygv1,0.913,3,0.101,-14.85,1,Gati Bali,1,1921,0.0339,110.339,0.0394,1921
0.8490000000000001,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.0663,537733,0.0257,0,1xGx91Ks3RQFqyam0Fdrky,0.956,6,0.0709,-31.134,0,"No. 14, Vocalise",1,1921,0.0472,74.282,0.0348,1921
0.653,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.727,301357,0.0116,0,2X6BN8RXjr4ArIEhjGa6QV,3.78e-05,3,0.204,-32.959,0,Tedhak Saking,1,1921,0.22,132.41299999999998,0.231,1921
0.994,"['Sergei Rachmaninoff', 'Ruth Laredo']",0.263,132400,0.0536,0,2aMQAP0h9Qww5KAkMdag3L,0.927,8,0.098,-28.147,1,"12 Songs, Op. 21: No. 5, Lilacs (Version for Piano)",1,1921,0.0386,129.365,0.18600000000000005,1921
0.994,['Mistinguett'],0.611,160373,0.297,0,2lgAz3rSTLcqyVj2fJsIzo,0.0,0,0.421,-15.800999999999998,1,Une Femme Qui Passe,1,1921,0.0661,122.476,0.8909999999999999,1921
0.8959999999999999,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.476,544052,0.677,0,2xMpQnfWIgRFjzrRXOl4zT,0.644,4,0.4,-11.628,1,Gati Harjuna Mangsah,1,1921,0.108,116.572,0.115,1921
0.465,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.758,255378,0.0148,0,35eVH8c7u6LGwyksBGMQCp,1.94e-05,0,0.349,-30.842,0,Sri Kondur,1,1921,0.133,77.031,0.29,1921
0.0369,['Kandy Town Hooligans'],0.7879999999999999,237688,0.465,1,3F7tC1zViRTXseoYla3Ggn,0.000384,10,0.11,-8.478,0,Big,1,1921-01-01,0.139,145.99200000000005,0.378,1921
0.99,"['Sergei Rachmaninoff', 'János Starker']",0.158,355200,0.0135,0,5GdglyuPh8z69eZ545uBNO,0.789,3,0.0761,-31.06,1,III. Andante,1,1921,0.038,67.372,0.0513,1921
0.952,['Phil Regan'],0.32,189373,0.249,0,5fqW6tFvvvWwh1DvIM8T0K,0.000424,1,0.12,-9.853,1,A Sweet Irish Sweetheart Of Mine,1,1921,0.0342,93.765,0.189,1921
0.973,"['Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra']",0.2,673733,0.0916,0,5tWNbOrkJON8fcBoIzPru7,0.875,5,0.0756,-22.312,0,III. Allegro scherzando,1,1921,0.0376,65.211,0.0515,1921
0.8959999999999999,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']",0.16,805400,0.0521,0,5w0UyOkp8IjkKMwNlaNLol,0.846,9,0.114,-23.652,1,III. Adagio,1,1921,0.0398,86.736,0.036000000000000004,1921
0.95,['Morton Downey'],0.6679999999999999,165907,0.2,0,72tqohY1oMA5n1vdHvWNZ5,0.0,8,0.153,-14.985,1,Molly Brannigan,1,1921,0.157,140.791,0.792,1921
0.674,['Uli'],0.645,126903,0.445,0,35iwgR4jXetI318WEWsa1Q,0.7440000000000001,0,0.151,-13.338,1,Carve,6,1922-02-22,0.451,104.851,0.127,1922
0.994,['Louis Lynel'],0.42,180800,0.28800000000000003,0,112adU33vo4C1eRZct2hWy,0.000216,7,0.196,-14.005,1,Nuits De Chine,5,1922,0.0701,139.575,0.4,1922
0.797,['Fernando Pessoa'],0.695,98200,0.263,0,021ht4sdgPcrDgSk7JTbKY,0.0,0,0.14800000000000002,-22.136,1,Capítulo 2.16 - Banquero Anarquista,0,1922-06-01,0.957,102.009,0.655,1922
0.994,['Ignacio Corsini'],0.434,181640,0.177,0,07A5yehtSnoedViJAZkNnc,0.0218,1,0.212,-21.18,1,Vivo para Quererte - Remasterizado,0,1922-03-21,0.0512,130.418,0.457,1922
0.995,['Ignacio Corsini'],0.321,176907,0.0946,0,08FmqUhxtyLTn6pAh6bk45,0.918,7,0.104,-27.961,1,El Prisionero - Remasterizado,0,1922-03-21,0.0504,169.98,0.397,1922
0.965,['Francis Marty'],0.51,134467,0.355,0,0Dd9ImXtAtGwsmsAD69KZT,0.0,4,0.155,-12.833,1,La Butte Rouge,0,1922,0.124,85.75399999999998,0.727,1922
0.993,['Mistinguett'],0.563,161427,0.184,0,0IA0Hju8CAgYfV1hwhidBH,1.55e-05,4,0.325,-13.757,1,La Java,0,1922,0.0512,133.088,0.654,1922
0.62,['Greg Fieler'],0.488,310073,0.475,0,0IgI1UCz84pYeVetnl1lGP,0.00645,0,0.107,-16.222,0,Old Fashioned Girl,0,1922,0.0399,139.952,0.544,1922
0.996,['Ignacio Corsini'],0.5479999999999999,181173,0.0391,0,0JV4iqw2lSKJaHBQZ0e5zK,0.933,6,0.14800000000000002,-23.228,1,Martín Fierro - Remasterizado,0,1922-03-29,0.153,75.595,0.612,1922
0.794,['Fernando Pessoa'],0.6759999999999999,99100,0.235,0,0OYGe21oScKJfanLyM7daU,0.0,11,0.21,-22.447,0,Capítulo 2.8 - Banquero Anarquista,0,1922-06-01,0.96,96.777,0.7240000000000001,1922
0.578,['Fernando Pessoa'],0.75,132700,0.229,0,0PE42H6tslQuyMMiGRiqtb,0.0,2,0.314,-22.077,1,Capítulo 2.25 - Banquero Anarquista,0,1922-06-01,0.955,102.629,0.531,1922
0.521,['Uli'],0.298,157333,0.46,0,0PH9AACae1f957JAavhOl2,0.856,1,0.436,-18.645,1,Lazy Boi,0,1922-02-22,0.453,87.921,0.402,1922
0.995,['Lucien Boyer'],0.703,186800,0.28,0,0QiT0Oo5QdLXdFw6RDOj7h,6.840000000000001e-05,0,0.163,-15.39,1,Tu Verras Montmartre,0,1922,0.174,127.531,0.897,1922
0.967,['Félix Mayol'],0.7090000000000001,172027,0.289,0,0TWsNj5iSvbMTtbEDP7A4V,0.0,2,0.119,-14.978,1,Elle Prend L'boulevard Magenta,0,1922,0.18,107.515,0.84,1922
0.754,['Fernando Pessoa'],0.687,96600,0.198,0,0cC9CYjLRIzwchQ42xVnq6,0.0,4,0.197,-24.264,0,Capítulo 1.23 - Banquero Anarquista,0,1922-06-01,0.962,78.453,0.478,1922
0.67,['Fernando Pessoa'],0.8,103200,0.171,0,0eb1PfHxT6HnXvvdUOzmME,0.0,8,0.123,-24.384,1,Capítulo 1.18 - Banquero Anarquista,0,1922-06-01,0.953,59.613,0.693,1922
0.691,['Fernando Pessoa'],0.7,95800,0.208,0,0grXU6GKVNCVMJbseA0Uhe,0.0,2,0.441,-23.874,1,Capítulo 1.10 - Banquero Anarquista,0,1922-06-01,0.956,85.73899999999998,0.613,1922
0.996,['Victor Boucher'],0.35200000000000004,188000,0.334,0,0kCB1bDVBC8gWCFcnJyIZc,0.00746,5,0.36,-13.038,1,Ca C'est Une Chose,0,1922,0.0594,76.403,0.414,1922
0.985,['Ignacio Corsini'],0.37,153533,0.3720000000000001,0,0l3BQsVJ7F76wlN5QhJzaP,0.000681,2,0.929,-17.137999999999998,1,El Vendaval - Remasterizado,0,1922-03-21,0.0865,159.66899999999995,0.753,1922
0.996,['Jeanne Saint Bonnet'],0.335,180933,0.304,0,0pXUGQcBxfoQXg2e7G9Wwk,0.0832,7,0.102,-14.062,1,Ta Bouche,0,1922,0.0506,76.57600000000002,0.215,1922
0.728,['Fernando Pessoa'],0.7040000000000001,109100,0.244,0,0wA4YFw7ZNnpasfjVgJxpv,0.0,0,0.168,-25.353,1,Capítulo 1.22 - Banquero Anarquista,0,1922-06-01,0.959,84.48899999999998,0.644,1922
0.994,['Ignacio Corsini'],0.339,181440,0.0958,0,0xJCJ9XSNcdTIz0QKmhtEn,0.969,8,0.123,-26.94400000000001,1,La Maleva - Remasterizado,0,1922-03-29,0.053,86.279,0.219,1922
0.665,['Fernando Pessoa'],0.655,113200,0.214,0,0zyKYuXwmo8eR3BBxoxVEO,0.0,0,0.279,-23.337,1,Capítulo 2.3 - Banquero Anarquista,0,1922-06-01,0.962,76.087,0.7609999999999999,1922
0.539,['Fernando Pessoa'],0.6729999999999999,109500,0.239,0,10XXG7gG75jIREUaModzOY,0.0,5,0.633,-22.552,1,Capítulo 1.2 - Banquero Anarquista,0,1922-06-01,0.96,83.53200000000002,0.644,1922
0.972,['Adolphe Bérard'],0.5820000000000001,168000,0.152,0,10u9ZWsOnhEyqFJCC2rQVy,0.0,10,0.31,-13.742,1,J'ai Vendu Mon Âme,0,1922,0.0914,95.779,0.546,1922
0.994,['Ignacio Corsini'],0.373,150160,0.17600000000000002,0,15BEv0mKGqHHxyDAcLJ7ei,0.866,4,0.157,-22.045,0,En la Huella del Querer - Remasterizado,0,1922-03-29,0.0703,106.595,0.383,1922
0.993,['Perchicot'],0.5920000000000001,180400,0.408,0,1CZkVPFUK7wO1sMOlBHxJr,1.54e-06,10,0.413,-11.585,0,C'est La Mode Et Voila Tout,0,1922,0.271,81.126,0.7659999999999999,1922
0.992,['Perchicot'],0.55,177400,0.31,0,1FnTOwM5cW5N9wzCWziLKC,0.0,10,0.204,-15.423,0,La Ronde De Nuit,0,1922,0.168,125.829,0.568,1922
0.996,['Ignacio Corsini'],0.482,145627,0.0283,0,1HJRj2XztAhgO7dLBw6b7s,0.77,0,0.0989,-23.414,0,El Patotero Sentimental - Remasterizado,0,1922-03-29,0.0732,77.642,0.33,1922
0.974,['Ignacio Corsini'],0.273,168107,0.318,0,1KLKkACG16o5crQPiaF1Tz,0.163,6,0.778,-18.597,1,Tus Suspiros - Remasterizado,0,1922-03-29,0.0694,74.542,0.414,1922
0.996,['Bessie Smith'],0.614,177133,0.0423,0,2wAfHM7Whz67VFbdanhZlk,0.00293,4,0.183,-12.033,1,Nobody Knows You When You're Down and Out,41,1923,0.0535,89.822,0.211,1923
0.984,"['Louis Armstrong', 'Earl Hines']",0.831,161933,0.262,0,3eMrYc092k7SIJfWJ7oasR,0.912,8,0.204,-12.386,1,Weather Bird,37,1923,0.0942,104.606,0.901,1923
0.976,['Louis Armstrong'],0.665,192600,0.254,0,7lRFR5GJCxK87ZbVMtQSeS,0.00217,8,0.644,-9.879,1,Ain't Misbehavin',30,1923,0.108,125.734,0.503,1923
0.996,['Bessie Smith'],0.537,206600,0.0443,0,2AZgaYZSwUosJD71J2N2Zo,0.000265,3,0.152,-16.474,0,'Tain't Nobody's Bizness If I Do,29,1923,0.0343,80.468,0.13699999999999998,1923
0.995,['Bessie Smith'],0.7090000000000001,181173,0.062,0,6XTvSCqGLLH0vzQQRn55hz,0.0034100000000000003,5,0.12,-12.207,1,"Empty Bed Blues, Pt. 1",27,1923,0.048,85.854,0.5529999999999999,1923
0.992,['Bessie Smith'],0.693,167640,0.027000000000000003,0,6qRvnXftofjYJm1Mg98UWL,0.0,0,0.134,-13.505999999999998,0,Need a Little Sugar in My Bowl,26,1923,0.0562,75.749,0.402,1923
0.986,['Bessie Smith'],0.7709999999999999,201480,0.0905,0,0V1iYWPXCBTaB6dhbiprGF,0.00014099999999999998,3,0.152,-7.7879999999999985,1,Send Me to the 'Lectric Chair,25,1923,0.0613,87.571,0.601,1923
0.995,['Bessie Smith'],0.525,187960,0.232,0,6sOKopKyVWwEJKh8zztYp5,0.0181,8,0.461,-7.649,1,Young Woman's Blues,25,1923,0.0335,76.14,0.411,1923
0.99,['Bessie Smith'],0.71,169960,0.0735,0,1yjck0Owf0HfhY5kWHiXIQ,0.0,5,0.0941,-12.526,1,Me and My Gin,23,1923,0.0488,90.917,0.494,1923
0.991,"['Bessie Smith', 'Louis Armstrong']",0.355,189600,0.114,0,50zXyjVdFb3xAr3hnyYYn1,0.00686,10,0.108,-15.968,1,St. Louis Blues,23,1923,0.0588,69.902,0.258,1923
0.994,"['Bessie Smith', 'Louis Armstrong']",0.408,190107,0.145,0,4ejUoPIMggFTVrAyvodqJQ,4.73e-05,10,0.138,-10.99,1,St. Louis Blues (with Louis Armstrong),22,1923,0.0501,68.8,0.294,1923
0.992,['Bessie Smith'],0.5870000000000001,205053,0.175,0,0rUf1j43orpfi6f4LbVo8D,0.00031800000000000003,2,0.073,-9.935,1,Careless Love,22,1923,0.0384,98.523,0.483,1923
0.993,['Bessie Smith'],0.516,198053,0.146,0,2gyqc4p3WoxKsc6zaXF4hM,0.0223,2,0.172,-8.985,1,Backwater Blues,22,1923,0.0454,71.14399999999998,0.412,1923
0.996,['Bessie Smith'],0.6829999999999999,176067,0.0534,0,5lpBC66XQzpVDJuknDUuZd,0.000335,0,0.141,-16.704,1,Baby Won't You Please Come Home,21,1923,0.0356,79.488,0.44,1923
0.994,"[""King Oliver's Creole Jazz Band""]",0.708,194533,0.361,0,1xEEYhWxT4WhDQdxfPCT8D,0.883,0,0.103,-11.764,0,Snake Rag,20,1923,0.0441,105.695,0.902,1923
0.996,['Bessie Smith'],0.491,205440,0.0583,0,6ktCV1ZtqlnXQeRFQvcXON,0.376,0,0.13699999999999998,-17.785,1,Down Hearted Blues,17,1923,0.0431,166.27,0.556,1923
0.971,['Bessie Smith'],0.691,208827,0.198,0,6N1wS1e5bMOubmVtkDLNrt,0.008879999999999999,7,0.154,-11.164,0,Gimme a Pigfoot and a Bottle of Beer,16,1923,0.0784,103.901,0.5579999999999999,1923
0.986,['Louis Armstrong & His Hot Five'],0.621,195400,0.274,0,4ep3h4btBtuxsNeLFVzq5A,0.63,3,0.113,-12.094,1,West End Blues,16,1923,0.0514,84.788,0.523,1923
0.995,"['Bessie Smith', 'Louis Armstrong']",0.415,180533,0.0795,0,7GRsQLXMzDHYb8zZAnMCDK,3.73e-05,0,0.426,-19.172,1,Sobbin' Hearted Blues,15,1923,0.0908,74.683,0.443,1923
0.996,"[""King Oliver's Creole Jazz Band""]",0.546,170827,0.189,0,3rauXVLOOM5BlxWqUcDpkg,0.908,0,0.339,-15.984000000000002,1,Chimes Blues,13,1923,0.0581,80.318,0.5539999999999999,1923
0.96,['Louis Armstrong'],0.5710000000000001,182707,0.269,0,5WlMyDvyQedom0kQ3MCTow,0.0129,4,0.121,-11.728,0,Lazy River,13,1923,0.067,101.845,0.49,1923
0.989,['Louis Armstrong & His Hot Five'],0.586,168533,0.113,0,08XPnovoMlLsFB3LDGq0rX,0.276,10,0.181,-12.211,1,Muggles,12,1923,0.0607,85.235,0.484,1923
0.995,"[""Clarence Williams' Blue Five""]",0.52,197493,0.153,0,1UdqHVRFYMZKU2Q7xkLtYc,0.131,0,0.353,-14.042,1,Pickin' On Your Baby,12,1923,0.044,102.937,0.319,1923
0.985,['Louis Armstrong'],0.544,195000,0.181,0,3U6L5KW48YOsksN9Qvlydl,0.0256,5,0.401,-11.729,1,I've Got The World On A String,11,1923,0.0387,129.803,0.411,1923
0.996,['Bessie Smith'],0.417,201267,0.0498,0,0F5F4GWA0Tz1ebZlLar2wG,0.123,5,0.16899999999999998,-13.523,1,Work House Blues,11,1923,0.0344,78.663,0.411,1923
0.991,['Bessie Smith'],0.557,206253,0.0792,0,527J3xtyY4MdrpKtWcJNtL,0.0,0,0.18600000000000005,-13.094,1,Long Old Road,11,1923,0.0541,79.768,0.494,1923
0.994,"[""King Oliver's Creole Jazz Band""]",0.359,187227,0.35700000000000004,0,5SvyP1ZeJX1jA7AOZD08NA,0.8190000000000001,3,0.29,-11.81,1,Tears,10,1923,0.0511,205.053,0.753,1923
0.993,['Bessie Smith'],0.703,171027,0.185,0,1h0wyCVd12PDSd6CLoGaVL,0.00209,8,0.22,-8.325,1,Preachin' the Blues,10,1923,0.0441,104.916,0.491,1923
